Location_ID,Sensor_Description,Sensor_Name,Installation_Date,Note,Location_Type,Status,Direction_1,Direction_2,Latitude,Longitude,Installation_Date_Missing
3,Melbourne Central,Swa295_T,2009-03-25,No note,Outdoor,A,North,South,-37.81101524,144.96429485,False
5,Princes Bridge,PriNW_T,2009-03-26,Replace with: 00:6e:02:01:9e:54,Outdoor,A,North,South,-37.81874249,144.96787656,False
9,Southern Cross Station,Col700_T,2009-03-23,No note,Outdoor,A,East,West,-37.81982992,144.95102555,False
11,Docklands Waterfront City Building Side,WatCit_T,2009-01-20,Device has been replaced with new sensor on 22/03/2019,Outdoor,A,East,West,-37.81566651,144.93974366,False
12,New Quay,NewQ_T,2009-01-21,No note,Outdoor,A,East,West,-37.81457988,144.94292398,False
14,Sandridge Bridge,SanBri_T,2009-03-24,Sensor relocated to sensor ID 25 on 2/10/2019,Outdoor,A,North,South,-37.82011242,144.96291897,False
18,Collins Place (North),Col12_T,2009-03-30,No note,Outdoor,A,East,West,-37.81344862,144.97305353,False
19,Chinatown-Swanston St (North),LtB210_T,2013-09-02,"Pushbox Upgrade, 20/07/2023",Outdoor,A,East,West,-37.81237202,144.96550671,False
20,Chinatown-Lt Bourke St (South),LtB170_T,2013-09-06,"Pushbox Upgrade, 20/07/2023",Outdoor,A,East,West,-37.81172914,144.9682466,False
27,QV Market-Peel St,Vic_T,2013-08-16,No note,Outdoor,A,East,West,-37.80606888,144.95644692,False
35,Southbank Promenade,SouthB_T,2016-04-11,Device replaced with two new sensors on 15-4-21,Outdoor,A,East,West,-37.82018685,144.96508508,False
41,Flinders La-Swanston St (West),Swa31,2017-06-29,No note,Outdoor,A,North,South,-37.81668634,144.96689733,False
43,Monash Rd-Swanston St (West),UM2_T,2015-04-15,No note,Outdoor,A,North,South,-37.79844526,144.96411782,False
44,Tin Alley-Swanston St (West),UM3_T,2015-04-15,"Pushbox Upgrade, 30/06/2023",Outdoor,A,North,South,-37.79698741,144.96441306,False
46,Pelham St (South),Pel147_T,2017-07-10,No note,Outdoor,A,East,West,-37.80240719,144.9615673,False
47,Melbourne Central-Elizabeth St (East),Eli250_T,2017-08-24,"Pushbox Upgrade, 25/07/2023. Move to 250 Elizabeth Street from adjacent St. Francis Church at 266 Elizabeth.",Outdoor,A,North,South,-37.81258467,144.9625775,False
48,QVM-Queen St (East),QVMQ_T,2017-10-02,"Pushbox Upgrade, 03/07/2023",Outdoor,A,East,West,-37.80631581,144.95866697,False
50,Faraday St-Lygon St (West),Lyg309_T,2017-11-30,"Pushbox Upgrade, 25/07/2023",Outdoor,A,North,South,-37.79808192,144.96721013,False
51,QVM-Franklin St (North),Fra118_T,2017-11-30,"Pushbox Upgrade, 20/07/2023",Outdoor,A,East,West,-37.80841815,144.95906316,False
52,Elizabeth St-Lonsdale St (South),Eli263_T,2017-07-31,"Pushbox Upgrade, 25/07/2023",Outdoor,A,East,West,-37.81252157,144.9619401,False
53,Collins Street (North),Col254_T,2015-09-23,No note,Outdoor,A,East,West,-37.81564191,144.965499,False
54,Lincoln-Swanston (West),Swa607_T,2018-06-26,No note,Outdoor,A,North,South,-37.804024,144.96308399,False
